NumeroCuenta,Password,Saldo
123456,password1,3500000
789012,securePass,4000000
345678,mySecretPwd,1500000
901234,strongPassword,4500000
567890,topSecret,2000000
246813,myp@ssw0rd,3250000
135792,superSecure,3450000
864209,confidential,3900000
753159,hiddenPwd,4750000
314159,privatePwd,2650000
271828,secretCode,1950000
987654,myPwd123,2200000
888888,secure123,3350000
999999,pwd987,2850000
111111,pwd456,3800000
222222,pwd321,4950000
333333,pwd654,2850000
444444,pwd789,1550000
555555,pwd234,4250000
666666,pwd567,3100000
777777,pwd890,1800000
